1|The Seaside Oasis|Italy|Venice|Cottage|5|2|7
2|The River View|Serbia|Belgrade|House|9|6|8
3|The Garden House|England|Manchester|Apartment|7|4|3
4|The Country Manor|France|Bordeaux|House|8|2|1
5|The Cozy Cottage|Germany|Mainz|Cottage|4|1|6
6|The Mountain Lodge|Austria|Graz|House|2|7|3
7|The Seaside Penthouse|Spain|Malaga|Apartment|6|9|5
8|The Woodland Retreat|Italy|Roma|Cottage|1|3|7
9|The River Cottage|Serbia|Novi Sad|House|5|2|8
10|The City Apartment|England|London|Apartment|7|9|6
11|The Parisian Retreat|France|Paris|Cottage|3|6|1
12|The Alpine View|Germany|Berlin|House|4|1|8
13|The Secret Cottage|Austria|Vienna|Apartment|5|2|9
14|The Lake Retreat|Serbia|Nis|Cottage|8|7|4
15|The Seaside Houseboat|Spain|Barcelona|House|1|5|3
16|The Rustic Retreat|Italy|Milano|Cottage|9|6|2
17|The Garden Bungalow|England|Birmingham|Apartment|3|7|8
18|The Coastal Retreat|France|Marseille|House|1|5|4
19|The Mountain Cottage|Germany|Frankfurt|Cottage|7|9|6
20|The Alpine Cabin|Austria|Salzburg|House|8|3|1
21|The Seaside Getaway|Spain|Madrid|Apartment|4|6|2
22|The Country Cottage|Italy|Venice|Cottage|3|8|2
23|The River House Retreat|Serbia|Belgrade|House|2|5|7
24|The Garden View Apartment|England|Manchester|Apartment|9|1|6
25|The City Cottage|France|Bordeaux|Cottage|6|8|3
26|The Hillside Retreat|Germany|Mainz|House|2|9|7
27|The Alpine Chalet Retreat|Austria|Graz|Cottage|5|4|1
28|The Seaside Villa Retreat|Spain|Malaga|House|7|3|8
29|The Woodland Getaway|Italy|Roma|Apartment|2|4|9
30|The River View Cottage|Serbia|Novi Sad|Cottage|3|6|1
31|The London Flat|England|London|Apartment|7|9|5
32|The French Cottage|France|Paris|Cottage|6|1|8
33|The Mountain View House|Germany|Berlin|House|2|5|9
34|The Secret Hideaway|Austria|Vienna|Cottage|1|7|3
35|The Lake Cabin|Serbia|Nis|House|8|6|2
36|The Seaside Suite|Spain|Barcelona|Apartment|5|3|4